PC1,PC2,label
-1.200368727381378,-0.5699357252269184,RMALOS
-1.335599535648662,-0.5234744856993563,RMALOS
-1.3677443656244765,-0.5936887182014499,RMALOS
-1.1883325719528752,-0.5800612012897198,RMALOS
-1.1388798419459625,-0.48338629594009014,RMALOS
-1.2779276261542019,-0.5714930476273934,RMALOS
-1.2621737117126497,-0.6434528170415602,RMALOS
-1.2122724782959025,-0.5970094134773878,RMALOS
-1.2643156228691665,-0.5789728075637773,RMALOS
-1.2401474416734035,-0.41728428682468144,RMALOS
-1.3751906860434484,-0.4607908250627347,RMALOS
-1.2768119531277657,-0.6022733161116522,RMALOS
-1.2900555852873412,-0.4987007961143552,RMALOS
-1.2950684590985382,-0.5333277018129966,RMALOS
-1.259337484952685,-0.64395922857889,RMALOS
-1.1332579148655106,-0.6157701408156867,RMALOS
-1.2719333428156052,-0.648125366451393,RMALOS
-1.2218508184886006,-0.5382603511538776,RMALOS
-1.1424355052248545,-0.6313240446810846,RMALOS
-1.3397068745201648,-0.5826357536123373,RMALOS
-1.2001452511108455,-0.6158546977601874,RMALOS
-1.1650431951323315,-0.586771317358683,RMALOS
-1.2405582365687273,-0.617545311665854,RMALOS
-1.2255010117235132,-0.6619586472426501,RMALOS
-1.2110470312503319,-0.6103841397977524,RMALOS
-1.2904191581179152,-0.5985490200733637,RMALOS
-1.248625945853931,-0.6563541475172566,RMALOS
-1.286986024330625,-0.8138839380029145,RMALOS
-1.2885020310118396,-0.5686687484886717,RMALOS
-1.321856352715602,-0.6287851946798854,RMALOS
-1.2697848270912222,-0.7516897441250003,RMALOS
-1.4012402680337284,-0.7585000413127756,RMALOS
-1.3702399021989704,-0.577271739742231,RMALOS
-1.2998606468993705,-0.5404650676308023,RMALOS
-1.342443968619833,-0.6122156360384841,RMALOS
-1.197574487949633,-0.6552672429159719,RMALOS
-1.2824015219745795,-0.6455094492047228,RMALOS
-1.193569738109668,-0.650270081273432,RMALOS
-1.0809389988471247,-0.5453945728300024,RMALOS
-1.1099154762239918,-0.7054440590959199,RMALOS
-1.165725814279862,-0.5344496731698283,RMALOS
-1.2951786589199954,-0.6285271752890478,RMALOS
-1.180415322092743,-0.8229170659577415,RMALOS
-1.1861293229344607,-0.7668744612094852,RMALOS
-1.236001300855935,-0.6952330452039052,RMALOS
-1.2330218324113436,-0.6632192272732057,RMALOS
-1.1439665344422125,-0.6887165602931657,RMALOS
-1.2216294103346403,-0.7119270527955066,RMALOS
-1.2405851739463232,-0.7605317665970786,RMALOS
-1.2429615745319083,-0.765213518089476,RMALOS
-1.2751868377966986,-0.6506393499386349,RMALOS
-1.2065666448830648,-0.5518125534430636,RMALOS
-1.1681358923296665,-0.6353429341010292,RMALOS
-1.2018211672413215,-0.5986818402065187,RMALOS
-1.173468362174769,-0.5929798850272773,RMALOS
-1.0763524011993058,-0.6522606021118814,RMALOS
-1.2710939131699552,-0.7286776270477647,RMALOS
-1.2535455911205056,-0.693837794143146,RMALOS
-1.0714840060099196,-0.7713072650796048,RMALOS
